,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_C5_10min,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,56,201702221258,541041300.0,False,6.415702500817133e-06,6.252961611608043e-06,6.415702500817133e-06,6.047885108273476e-06,True,True,True,True,True,True,True,C6.3,6.3901207e-06,2017-02-22T13:27:00.000,29.0,1.3743063220772456e-07
2,175,201703271809,543910680.0,True,2.3417180727847153e-06,1.5977090015439899e-06,1.6441678098999546e-06,1.1841090099551366e-06,False,False,False,False,False,True,False,C7.9,7.992929e-06,2017-03-27T18:20:00.000,11.0,6.575513680218137e-07
3,189,201703280445,543948960.0,True,1.9111573692498496e-06,1.327121935901232e-06,1.3638831433127052e-06,9.825903362070676e-07,False,False,False,False,False,False,False,C4.9,4.983745e-06,2017-03-28T04:56:00.000,11.0,2.5382095714121533e-07
4,249,201704011921,544348080.0,False,5.931676241743844e-06,5.700978363165632e-06,5.782315383839887e-06,5.451478500617668e-06,True,True,True,True,True,True,True,C5.8,5.8023916e-06,2017-04-01T19:56:00.000,35.0,5.572285886046302e-07
5,251,201704012131,544354920.0,False,6.28130801487714e-05,5.996950130793266e-05,6.0873069742228836e-05,5.9502159274416044e-05,True,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07
6,252,201704012259,544359720.0,True,1.8456490806784132e-06,1.6120969803523622e-06,1.6566965541642276e-06,1.4604105444959714e-06,False,False,False,False,False,True,False,C7.8,7.800008e-06,2017-04-01T23:03:00.000,4.0,1.0987513405780192e-06
7,257,201704020233,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,True,False,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07
8,258,201704020251,544373100.0,True,2.5123940758930985e-06,2.3481807147618383e-06,2.5123940758930985e-06,2.4702412702026777e-06,False,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06
9,261,201704020742,544391640.0,False,8.392012387048453e-05,7.722142618149519e-05,8.053233614191413e-05,6.925860361661762e-05,True,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06
10,263,201704021050,544403040.0,True,1.943837105500279e-06,1.7824607994043618e-06,1.825596427806886e-06,1.6763183339207899e-06,False,False,False,False,False,False,False,C2.7,2.761983e-06,2017-04-02T11:03:00.000,13.0,1.5654910612283857e-06
11,264,201704021250,544410780.0,True,1.1585086213017348e-05,1.1082724086008966e-05,1.1585086213017348e-05,1.12331499622087e-05,True,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
12,265,201704021455,544417140.0,False,6.645860139542492e-06,6.5099502535304055e-06,6.60498926663422e-06,6.326115453703096e-06,True,True,True,True,True,True,True,C6.5,6.5182544e-06,2017-04-02T15:08:00.000,13.0,4.160148364462657e-06
13,266,201704021617,544422300.0,True,4.110998816031497e-06,3.844355433102464e-06,3.8810353544249665e-06,3.609265831983066e-06,False,False,False,False,False,False,False,C4.8,4.805452e-06,2017-04-02T16:27:00.000,10.0,1.7734854509399156e-06
14,267,201704021814,544429380.0,False,3.214048047084361e-05,2.5551780709065497e-05,3.362597999512218e-05,3.0400033210753463e-05,True,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06
15,268,201704021845,544430460.0,True,3.250217923778109e-05,3.193135853507556e-05,3.250217923778109e-05,3.190758798155002e-05,True,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05
16,269,201704022026,544435860.0,True,6.065464276616694e-06,5.907051672693342e-06,5.9370090639276896e-06,5.786642304883571e-06,True,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06
17,270,201704022103,544438080.0,True,5.070067345513962e-06,4.824162260774756e-06,4.896922291663941e-06,4.644576165446779e-06,False,True,False,False,False,True,False,C7.3,7.319894e-06,2017-04-02T21:10:00.000,7.0,4.366834673419362e-06
18,271,201704030050,544451700.0,True,2.6557697765383637e-06,2.54526730714133e-06,2.752787622739561e-06,2.61755008068576e-06,False,False,False,False,False,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06
19,272,201704030242,544458420.0,True,2.0405493614816805e-06,1.989922111533815e-06,2.0405493614816805e-06,1.9962819806096377e-06,False,False,False,False,False,False,False,,2.9760881e-06,2017-04-03T02:49:00.000,7.0,1.932506165758241e-06
20,273,201704030418,544464180.0,True,2.1133892005309463e-06,1.9242643247707747e-06,1.8911466668214416e-06,1.8532167587181902e-06,False,False,False,False,False,False,False,,3.5755256e-06,2017-04-03T04:26:00.000,8.0,1.7314874867224717e-06
21,274,201704030453,544466280.0,True,3.2437728805234656e-06,3.0971493742981693e-06,3.2437728805234656e-06,3.1282488635042682e-06,False,False,False,False,False,True,True,,7.515175e-06,2017-04-03T05:03:00.000,10.0,2.8690283215837553e-06
22,275,201704030516,544467660.0,True,6.352842774504097e-06,6.071839834476123e-06,6.1529999584308825e-06,5.891636192245642e-06,True,True,True,True,True,False,True,,3.3803126e-06,2017-04-03T06:35:00.000,79.0,5.601833890978014e-06
23,276,201704030635,544473300.0,False,6.276735348365037e-06,6.089318048907444e-06,6.41147380520124e-06,6.290539658948546e-06,True,True,True,True,True,True,True,,7.791969e-06,2017-04-03T06:52:00.000,17.0,3.871974058711203e-06
