,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 5.e+00],4036,1172,608,20,5,270,365,2368,0.18684915203808392,0.48717948717948717,0.6997709764730377
1,[1.e-06 1.e+01],4076,1120,702,23,8,204,334,2377,0.2110011641443539,0.5625,0.7218487394957983
2,[1.e-06 2.e+01],4184,1468,728,27,23,202,295,1917,0.25446579036063366,0.5833333333333334,0.6398533534612896
3,[1.e-06 3.e+01],5244,1258,633,15,151,229,235,1079,0.3302752293577982,0.5072115384615384,0.5688605392867497
4,[1.e-06 4.e+01],6061,902,522,12,317,195,214,621,0.39006574141709277,0.4182692307692308,0.5551500405515004
6,[2.5e-06 5.0e+00],6061,775,693,25,5,230,320,735,0.40496333897349124,0.5552884615384616,0.6382289416846653
7,[2.5e-06 1.0e+01],6092,751,726,22,8,202,312,731,0.417643774427694,0.5817307692307693,0.6526967930029155
8,[2.5e-06 2.0e+01],6174,797,722,26,24,216,286,599,0.4580526638089406,0.5785256410256411,0.6171579743008314
9,[2.5e-06 3.0e+01],6532,687,623,17,154,240,231,360,0.5199025182778229,0.49919871794871795,0.5704355885078777
10,[2.5e-06 4.0e+01],6858,500,509,13,320,208,211,225,0.5448851774530271,0.4078525641025641,0.575030012004802
12,[5.e-06 5.e+00],7552,33,616,9,8,537,87,2,0.8753501400560224,0.4935897435897436,0.5560747663551402
13,[5.e-06 1.e+01],7557,28,619,9,19,522,88,2,0.8746518105849582,0.49599358974358976,0.5662460567823344
14,[5.e-06 2.e+01],7561,27,595,7,59,507,87,1,0.8724637681159421,0.47676282051282054,0.5637254901960784
15,[5.e-06 3.e+01],7564,25,519,6,203,454,72,1,0.8779264214046822,0.41586538461538464,0.5552460538532962
