,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-08],4048,1119,628,21,0,267,353,2408,0.19032258064516128,0.5032051282051282,0.7110091743119266
1,[1.e-06 5.e-08],4773,1169,759,28,4,171,314,1626,0.2885955262192886,0.6081730769230769,0.670518809933612
2,[1.e-06 1.e-07],5798,906,763,28,7,188,290,864,0.40668380462724935,0.6113782051282052,0.640013162224416
3,[1.e-06 5.e-07],7494,84,511,8,348,291,98,10,0.8277511961722488,0.4094551282051282,0.625748502994012
6,[2.5e-06 1.0e-08],6062,771,694,26,0,243,311,737,0.4072398190045249,0.5560897435897436,0.6355140186915887
7,[2.5e-06 5.0e-08],6127,732,743,27,4,194,307,710,0.43088975937325125,0.5953525641025641,0.6586804275709547
8,[2.5e-06 1.0e-07],6317,734,755,29,7,205,281,516,0.4958886780518659,0.6049679487179487,0.6273809523809524
9,[2.5e-06 5.0e-07],7502,80,510,8,348,292,98,6,0.8327974276527331,0.40865384615384615,0.6257545271629779
12,[5.e-06 1.e-08],7553,32,614,9,2,543,89,2,0.8725490196078431,0.49198717948717946,0.5539177657098526
13,[5.e-06 5.e-08],7556,28,625,10,15,520,88,2,0.8758620689655172,0.500801282051282,0.5695208169677927
14,[5.e-06 1.e-07],7557,28,623,10,25,512,88,1,0.8767313019390581,0.49919871794871795,0.572107765451664
