,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 1.e-01],4021,1719,491,14,3,495,259,1842,0.19378357636224097,0.39342948717948717,0.5406639004149377
3,[1.e-06 2.e+00],6757,490,431,10,483,217,117,339,0.4916387959866221,0.3453525641025641,0.5592269326683291
4,[1.e-06 3.e+00],7058,324,330,8,639,207,72,206,0.5487012987012987,0.2644230769230769,0.5370531822144725
8,[2.5e-06 2.0e+00],7172,284,425,8,483,226,114,132,0.6377025036818851,0.3405448717948718,0.5710681244743482
9,[2.5e-06 3.0e+00],7337,172,325,5,639,213,71,82,0.6832298136645962,0.2604166666666667,0.5564516129032258
12,[5.e-06 1.e+00],7554,30,498,8,262,425,63,4,0.8830715532286213,0.39903846153846156,0.5573929961089494
13,[5.e-06 2.e+00],7563,23,397,7,483,319,49,3,0.8859649122807017,0.31810897435897434,0.5714285714285714
14,[5.e-06 3.e+00],7567,22,309,4,639,266,34,3,0.8942857142857142,0.24759615384615385,0.54858934169279
15,[7.5e-06 1.0e-01],7575,15,386,5,513,338,11,1,0.9702233250620348,0.3092948717948718,0.533068783068783
16,[7.5e-06 5.0e-01],7576,14,375,5,554,309,10,1,0.9718670076726342,0.3004807692307692,0.5476190476190477
17,[7.5e-06 1.0e+00],7576,14,356,5,617,265,10,1,0.9704301075268817,0.28525641025641024,0.5714285714285714
18,[7.5e-06 2.0e+00],7577,13,290,5,709,238,11,1,0.9609120521172638,0.23237179487179488,0.5501792114695341
19,[7.5e-06 3.0e+00],7578,15,246,2,784,210,8,1,0.9649805447470817,0.1971153846153846,0.533195020746888
