,Param Combo,TN,TN_canc,TP,TP_noc5_obs,FN,FN_canc,FP_c5_noobs,FP_noc5_noobs,Precision,Recall,Trigger-to-Launch
0,[1.e-06 2.e+48],5559,1322,249,7,8,667,324,708,0.19875776397515527,0.19951923076923078,0.393042416844675
1,[1.e-06 3.e+48],6457,779,257,5,67,714,210,355,0.31680773881499397,0.20592948717948717,0.3564655172413793
2,[1.e-06 4.e+48],7076,358,244,2,319,586,99,160,0.4871287128712871,0.1955128205128205,0.34851621808143546
3,[1.e-06 5.e+48],7433,102,211,1,560,435,42,60,0.6751592356687898,0.16907051282051283,0.3689776733254994
4,[1.e-06 6.e+48],7544,37,168,0,776,289,15,15,0.8484848484848485,0.1346153846153846,0.37786259541984735
5,[1.e-06 7.e+48],7574,15,142,0,909,192,5,7,0.922077922077922,0.11378205128205128,0.4265927977839335
6,[2.5e-06 2.0e+48],6329,879,437,11,9,543,259,377,0.4132841328413284,0.3501602564102564,0.432561851556265
7,[2.5e-06 3.0e+48],7004,490,349,7,80,686,133,95,0.6095890410958904,0.2796474358974359,0.33181818181818185
8,[2.5e-06 4.0e+48],7366,188,270,1,343,566,69,41,0.7112860892388452,0.21634615384615385,0.3356828193832599
9,[2.5e-06 5.0e+48],7516,62,216,1,582,425,25,17,0.8378378378378378,0.17307692307692307,0.34718498659517427
10,[2.5e-06 6.0e+48],7567,24,169,0,778,289,12,5,0.9086021505376344,0.13541666666666666,0.3727454909819639
11,[2.5e-06 7.0e+48],7586,8,142,0,911,190,5,2,0.9530201342281879,0.11378205128205128,0.42939481268011526
13,[5.e-06 3.e+48],7557,33,449,4,109,655,35,2,0.9244897959183673,0.359775641025641,0.4159592529711375
14,[5.e-06 4.e+48],7577,17,318,1,403,514,13,1,0.9579579579579579,0.2548076923076923,0.3854166666666667
15,[5.e-06 5.e+48],7584,10,222,1,658,363,5,1,0.9737991266375546,0.1778846153846154,0.3803986710963455
16,[5.e-06 6.e+48],7589,6,172,0,828,245,3,1,0.9772727272727273,0.13782051282051283,0.41217798594847777
17,[5.e-06 7.e+48],7593,2,143,0,939,163,3,1,0.9727891156462585,0.11458333333333333,0.47115384615384615
18,[7.5e-06 2.0e+48],7578,13,383,4,521,333,11,1,0.9699248120300752,0.30689102564102566,0.5355704697986577
19,[7.5e-06 3.0e+48],7578,13,382,4,521,334,11,1,0.9698492462311558,0.3060897435897436,0.5342281879194631
20,[7.5e-06 4.0e+48],7583,11,304,1,586,350,8,1,0.9713375796178344,0.24358974358974358,0.4651851851851852
21,[7.5e-06 5.0e+48],7585,9,228,1,721,294,5,1,0.9744680851063829,0.18269230769230768,0.4368029739776952
22,[7.5e-06 6.0e+48],7589,6,175,0,857,213,3,1,0.9776536312849162,0.14022435897435898,0.44974874371859297
23,[7.5e-06 7.0e+48],7593,2,144,0,950,151,3,1,0.972972972972973,0.11538461538461539,0.49169435215946844
